Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,6.386000,6.424000,6.058000,6.088000,5.870860,2370106
2022-01-25,6.176000,6.256000,6.110000,6.200000,5.978866,2014242
2022-01-26,6.202000,6.268000,6.108000,6.164000,5.944150,1842897
2022-01-27,6.100000,6.308000,6.072000,6.286000,6.061798,1786524
2022-01-28,6.268000,6.268000,6.124000,6.160000,5.940292,2246446
2022-01-31,6.242000,6.242000,6.156000,6.232000,6.009724,1921905
2022-02-01,6.224000,6.334000,6.224000,6.322000,6.096514,1681490
2022-02-02,6.312000,6.356000,6.276000,6.292000,6.067584,1028986
2022-02-03,6.250000,6.304000,6.222000,6.246000,6.023225,811634
2022-02-04,6.310000,6.324000,6.000000,6.040000,5.824573,2730930
2022-02-07,6.084000,6.128000,5.996000,6.044000,5.828430,1498815
2022-02-08,6.038000,6.148000,6.010000,6.132000,5.913291,1543094
2022-02-09,6.150000,6.276000,6.092000,6.118000,5.899790,1883670
2022-02-10,6.132000,6.254000,6.088000,6.220000,5.998152,1943608
2022-02-11,6.170000,6.210000,5.988000,6.012000,5.797571,2841431
2022-02-14,5.930000,5.930000,5.702000,5.854000,5.645206,3881959
2022-02-15,5.786000,6.042000,5.784000,5.998000,5.784070,2265679
2022-02-16,6.002000,6.060000,5.860000,5.868000,5.658707,1735712
2022-02-17,5.938000,5.976000,5.810000,5.872000,5.662565,2286625
2022-02-18,5.910000,5.926000,5.746000,5.758000,5.552630,2110850
2022-02-21,5.760000,5.844000,5.578000,5.612000,5.411838,1673732
2022-02-22,5.510000,5.742000,5.408000,5.662000,5.460054,2046864
2022-02-23,5.746000,5.746000,5.584000,5.652000,5.450411,2570989
2022-02-24,5.500000,5.500000,5.010000,5.064000,4.883383,8091389
2022-02-25,5.158000,5.194000,4.889000,5.190000,5.004889,7442160
2022-02-28,5.050000,5.068000,4.752000,4.943000,4.766699,5179774
2022-03-01,4.929000,4.961000,4.601000,4.601000,4.436897,5550087
2022-03-02,4.601000,4.810000,4.515000,4.712000,4.543938,5287521
2022-03-03,4.712000,4.791000,4.636000,4.657000,4.490900,4897326
2022-03-04,4.569000,4.606000,4.326000,4.326000,4.171706,5387349
2022-03-07,4.140000,4.373000,3.900000,4.324000,4.169776,5368623
2022-03-08,4.254000,4.439000,4.213000,4.238000,4.086844,4500750
2022-03-09,4.446000,4.715000,4.384000,4.678000,4.511150,7700839
2022-03-10,4.703000,4.721000,4.439000,4.545000,4.382895,3168181
2022-03-11,4.589000,4.742000,4.497000,4.529000,4.367465,3583767
2022-03-14,4.631000,4.769000,4.612000,4.661000,4.494757,3248155
2022-03-15,4.587000,4.700000,4.522000,4.671000,4.504400,3429484
2022-03-16,4.740000,4.940000,4.713000,4.902000,4.727161,4326966
2022-03-17,4.860000,4.947000,4.742000,4.847000,4.674123,4300476
2022-03-18,4.832000,4.859000,4.712000,4.849000,4.676052,4774525
2022-03-21,4.857000,4.885000,4.770000,4.770000,4.599869,1636489
2022-03-22,4.784000,4.903000,4.771000,4.854000,4.680873,1588173
2022-03-23,4.903000,4.920000,4.753000,4.846000,4.673159,1943279
2022-03-24,4.850000,4.865000,4.730000,4.766000,4.596012,1878893
2022-03-25,4.813000,4.814000,4.740000,4.800000,4.628799,1417907
2022-03-28,4.837000,4.852000,4.740000,4.775000,4.604691,1654738
2022-03-29,4.816000,5.082000,4.811000,5.018000,4.839024,3793976
2022-03-30,4.979000,5.002000,4.867000,4.998000,4.819737,2539969
2022-03-31,5.010000,5.040000,4.894000,4.931000,4.755127,2150012
2022-04-01,4.931000,4.999000,4.899000,4.906000,4.731019,1512137
2022-04-04,4.910000,4.970000,4.842000,4.877000,4.703053,1366405
2022-04-05,4.990000,5.038000,4.772000,4.802000,4.630728,2905567
2022-04-06,4.816000,4.816000,4.490000,4.542000,4.380001,4603345
2022-04-07,4.577000,4.600000,4.410000,4.413000,4.255602,3363384
2022-04-08,4.452000,4.493000,4.347000,4.454000,4.295140,3241105
2022-04-11,4.440000,4.449000,4.362000,4.428000,4.270067,2403733
2022-04-12,4.398000,4.481000,4.355000,4.446000,4.287426,2415234
2022-04-13,4.431000,4.539000,4.397000,4.521000,4.359750,1575910
2022-04-14,4.526000,4.560000,4.504000,4.543000,4.380966,2039720
2022-04-19,4.531000,4.605000,4.500000,4.605000,4.440754,1172764
2022-04-20,4.605000,4.790000,4.582000,4.756000,4.586369,3842670
2022-04-21,4.703000,5.016000,4.690000,4.881000,4.706910,4687157
2022-04-22,4.800000,4.870000,4.735000,4.745000,4.575761,1572535
2022-04-25,4.700000,4.743000,4.640000,4.696000,4.528509,1043439
2022-04-26,4.760000,4.762000,4.573000,4.577000,4.413753,1271329
2022-04-27,4.610000,4.703000,4.520000,4.666000,4.499578,1365833
2022-04-28,4.707000,4.847000,4.692000,4.746000,4.576725,1808335
2022-04-29,4.711000,4.794000,4.665000,4.748000,4.578654,1917361
2022-05-02,4.680000,4.713000,4.561000,4.617000,4.452326,2119596
2022-05-03,4.670000,4.710000,4.555000,4.578000,4.414717,2263738
2022-05-04,4.551000,4.628000,4.548000,4.576000,4.412789,1303565
2022-05-05,4.666000,4.692000,4.444000,4.448000,4.289354,1746404
2022-05-06,4.440000,4.495000,4.371000,4.451000,4.292247,1855446
2022-05-09,4.400000,4.453000,4.301000,4.301000,4.147597,2111708
2022-05-10,4.350000,4.511000,4.323000,4.469000,4.309605,2099491
2022-05-11,4.590000,4.628000,4.470000,4.568000,4.405074,2290244
2022-05-12,4.470000,4.666000,4.470000,4.639000,4.473542,1807513
2022-05-13,4.680000,4.750000,4.624000,4.750000,4.580583,1116248
2022-05-16,4.704000,4.740000,4.610000,4.706000,4.538152,885772
2022-05-17,4.758000,4.758000,4.650000,4.687000,4.519829,1423396
2022-05-18,4.716000,4.716000,4.538000,4.575000,4.411824,2215369
2022-05-19,4.520000,4.552000,4.475000,4.546000,4.383859,1820197
2022-05-20,4.554000,4.682000,4.502000,4.514000,4.353000,2396662
2022-05-23,4.444000,4.511000,4.358000,4.511000,4.511000,1930235
2022-05-24,4.443000,4.491000,4.357000,4.401000,4.401000,1923745
2022-05-25,4.440000,4.470000,4.340000,4.429000,4.429000,1352870
2022-05-26,4.403000,4.599000,4.394000,4.582000,4.582000,1272388
2022-05-27,4.600000,4.610000,4.550000,4.595000,4.595000,803294
2022-05-30,4.620000,4.694000,4.620000,4.667000,4.667000,1236000
2022-05-31,4.662000,4.670000,4.575000,4.602000,4.602000,1595503
2022-06-01,4.646000,4.740000,4.608000,4.651000,4.651000,1244046
2022-06-02,4.671000,4.695000,4.641000,4.669000,4.669000,429704
2022-06-03,4.720000,4.720000,4.568000,4.575000,4.575000,982607
2022-06-06,4.592000,4.702000,4.592000,4.670000,4.670000,661346
2022-06-07,4.660000,4.679000,4.575000,4.589000,4.589000,1054236
2022-06-08,4.585000,4.596000,4.502000,4.522000,4.522000,1390641
2022-06-09,4.517000,4.607000,4.432000,4.448000,4.448000,1501746
2022-06-10,4.428000,4.436000,4.299000,4.323000,4.323000,2686190
2022-06-13,4.253000,4.290000,4.061000,4.070000,4.070000,2314843
2022-06-14,4.116000,4.122000,3.950000,4.015000,4.015000,2426396
2022-06-15,4.120000,4.252000,4.109000,4.213000,4.213000,2162957
2022-06-16,4.181000,4.203000,4.010000,4.030000,4.030000,1378418
2022-06-17,4.031000,4.271000,4.030000,4.240000,4.240000,3470441
2022-06-20,4.211000,4.263000,4.163000,4.259000,4.259000,896569
2022-06-21,4.273000,4.325000,4.242000,4.242000,4.242000,852460
2022-06-22,4.150000,4.243000,4.085000,4.202000,4.202000,853012
2022-06-23,4.240000,4.240000,3.966000,3.966000,3.966000,2920061
2022-06-24,4.035000,4.101000,3.954000,4.055000,4.055000,1678813
2022-06-27,4.111000,4.140000,4.025000,4.044000,4.044000,1282641
2022-06-28,4.077000,4.136000,4.054000,4.083000,4.083000,1367751
2022-06-29,4.002000,4.062000,3.972000,4.022000,4.022000,1078471
2022-06-30,3.945000,3.980000,3.820000,3.876000,3.876000,2512501
2022-07-01,3.850000,3.977000,3.816000,3.937000,3.937000,3530258
2022-07-04,3.947000,3.961000,3.852000,3.903000,3.903000,1259841
2022-07-05,3.900000,3.926000,3.755000,3.774000,3.774000,2164862
2022-07-06,3.850000,3.892000,3.799000,3.866000,3.866000,1272968
2022-07-07,3.884000,4.085000,3.884000,4.071000,4.071000,2231696
2022-07-08,3.964000,4.207000,3.950000,4.140000,4.140000,1992624
2022-07-11,4.040000,4.173000,4.038000,4.065000,4.065000,1022124
2022-07-12,4.018000,4.099000,3.966000,4.087000,4.087000,1732968
2022-07-13,4.073000,4.073000,3.947000,3.960000,3.960000,1482347
2022-07-14,3.926000,3.998000,3.818000,3.875000,3.875000,1737711
2022-07-15,3.892000,4.098000,3.890000,4.091000,4.091000,2031711
2022-07-18,4.056000,4.211000,4.053000,4.160000,4.160000,1700718
2022-07-19,4.100000,4.237000,4.100000,4.203000,4.203000,1914171
2022-07-20,4.240000,4.259000,4.106000,4.169000,4.169000,1806984
2022-07-21,4.069000,4.161000,4.041000,4.121000,4.121000,2020551
2022-07-22,4.106000,4.161000,4.070000,4.117000,4.117000,780425
2022-07-25,4.089000,4.134000,4.073000,4.129000,4.129000,1023382
2022-07-26,4.087000,4.107000,4.010000,4.023000,4.023000,1385705
2022-07-27,4.028000,4.070000,3.918000,3.918000,3.918000,2424724
2022-07-28,3.958000,4.063000,3.956000,3.990000,3.990000,2133856
2022-07-29,4.055000,4.224000,4.044000,4.208000,4.208000,1809630
2022-08-01,4.200000,4.237000,4.165000,4.177000,4.177000,1062850
2022-08-02,4.170000,4.171000,4.078000,4.096000,4.096000,881224
2022-08-03,4.070000,4.280000,4.060000,4.280000,4.280000,1426287
2022-08-04,4.280000,4.350000,4.231000,4.256000,4.256000,1188294
2022-08-05,4.400000,4.530000,4.379000,4.439000,4.439000,4970115
2022-08-08,4.480000,4.480000,4.334000,4.407000,4.407000,2232915
2022-08-09,4.409000,4.439000,4.226000,4.258000,4.258000,2170413
2022-08-10,4.248000,4.378000,4.240000,4.360000,4.360000,2584764
2022-08-11,4.390000,4.398000,4.258000,4.291000,4.291000,2859774
2022-08-12,4.306000,4.339000,4.280000,4.308000,4.308000,1326998
